binning_data,update_time,create_time,source_pkg_name,source_type,count,avgcount,doubavg,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
c333b56b-9449-473c-aa1f-813a4c203ed9.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,292,1977.666667,1674.111111,1.4455065,233.22,17.9,rvAAWy9XGW,com.sec.android.app.shealth,c333b56b-9449-473c-aa1f-813a4c203ed9,1.64661E+12
3bbd7cab-398f-4b81-b142-400284541003.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,4852,2122,2066.777778,1.5720737,3888.79,294.16,rvAAWy9XGW,com.sec.android.app.shealth,3bbd7cab-398f-4b81-b142-400284541003,1.64851E+12
4dc2516b-15c3-4d7e-8837-937df72554a0.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1222,2100.666667,1822.444444,1.6011814,980.91,73.51,rvAAWy9XGW,com.sec.android.app.shealth,4dc2516b-15c3-4d7e-8837-937df72554a0,1.64722E+12
d9d21771-c7b1-47bb-a031-35d0e2d21850.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,228,1244.666667,2563,1.38089,178.07,13.549998,rvAAWy9XGW,com.sec.android.app.shealth,d9d21771-c7b1-47bb-a031-35d0e2d21850,1.64575E+12
afeefb7e-5ba4-4c89-a0ea-3806e74a4f22.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,2284,4343.666667,3387.555556,1.5663768,1828.3,137.61,rvAAWy9XGW,com.sec.android.app.shealth,afeefb7e-5ba4-4c89-a0ea-3806e74a4f22,1.64756E+12
00c6d1ce-b4f6-436f-92dc-ea8f08f39880.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,10519,4574.333333,4900.111111,1.6491927,8475.91,632.20996,rvAAWy9XGW,com.sec.android.app.shealth,00c6d1ce-b4f6-436f-92dc-ea8f08f39880,1.64713E+12
f6988cc3-961b-4797-9112-b9c5ca922501.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,920,5782.333333,4345.555556,1.5145783,743.82,56.299995,rvAAWy9XGW,com.sec.android.app.shealth,f6988cc3-961b-4797-9112-b9c5ca922501,1.64773E+12
da39e665-e5a6-4f58-84d7-9515179d4dd4.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,5908,2680,3673.555556,1.5563627,4725.8,357.43,rvAAWy9XGW,com.sec.android.app.shealth,da39e665-e5a6-4f58-84d7-9515179d4dd4,1.64843E+12
e3badc8a-6eb4-4053-9cca-4a1e31508524.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1212,2558.333333,1999,1.5528063,966.62,72.6,rvAAWy9XGW,com.sec.android.app.shealth,e3badc8a-6eb4-4053-9cca-4a1e31508524,1.64903E+12
3885adf4-6abb-440f-9c1b-66f9bb1bdede.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,555,758.6666667,1575.222222,1.2932556,430.58002,32.599995,rvAAWy9XGW,com.sec.android.app.shealth,3885adf4-6abb-440f-9c1b-66f9bb1bdede,1.64808E+12
